symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-L / 100km,highway-mpg,price,price-binned
2,164,audi,gas,std,four,sedan,fwd,front,99.8,0.8716683119447186,0.9232914923291492,0.9080267558528428,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102,5500,9.791666666666666,30,13950,Low
2,164,audi,gas,std,four,sedan,4wd,front,99.4,0.8716683119447186,0.9260808926080893,0.9080267558528428,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115,5500,13.055555555555555,22,17450,Medium
1,158,audi,gas,std,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,0.931438127090301,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110,5500,12.368421052631579,25,17710,Medium
1,158,audi,gas,turbo,four,sedan,fwd,front,105.8,0.9511352418558736,0.99581589958159,0.9347826086956522,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140,5500,13.823529411764707,20,23875,Medium
2,192,bmw,gas,std,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16430,Medium
0,192,bmw,gas,std,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101,5800,10.217391304347826,29,16925,Medium
0,188,bmw,gas,std,two,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,20970,Medium
0,188,bmw,gas,std,four,sedan,rwd,front,101.2,0.8726554787759132,0.903765690376569,0.9080267558528428,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250,11.19047619047619,28,21105,Medium
2,121,chevrolet,gas,std,two,hatchback,fwd,front,88.4,0.6964461994076999,0.8410041841004183,0.8896321070234114,1488,l,three,61,2bbl,2.91,3.03,9.5,48,5100,5.0,53,5151,Low
1,98,chevrolet,gas,std,two,hatchback,fwd,front,94.5,0.7694965449160909,0.8870292887029289,0.8695652173913044,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6295,Low
0,81,chevrolet,gas,std,four,sedan,fwd,front,94.5,0.7838104639684107,0.8870292887029289,0.8695652173913044,1909,ohc,four,90,2bbl,3.03,3.11,9.6,70,5400,6.184210526315789,43,6575,Low
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.41,68,5500,6.351351351351352,41,5572,Low
1,118,dodge,gas,std,two,hatchback,fwd,front,93.7,0.7764067127344522,0.8898186889818688,0.8494983277591973,1876,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,7.580645161290323,38,6377,Low
